Date,MSFT_rolling_beta,LMT_rolling_beta
2021-06-21,1.2327807952812766,0.5293842204478547
2021-06-22,1.229355674978314,0.5275100649330781
2021-06-23,1.2291642213222795,0.5295048190087537
2021-06-24,1.2420482514944267,0.5102563113940153
2021-06-25,1.2417802632714747,0.5097439933034679
2021-06-28,1.2530973754027737,0.5055887561608293
2021-06-29,1.2564604103555375,0.4943109144227596
2021-06-30,1.252927804365028,0.502104454483326
2021-07-01,1.2525211642148675,0.5039229014024866
2021-07-02,1.2548635384577258,0.5037538662509189
2021-07-06,1.2534245826323323,0.508630126197196
2021-07-07,1.254019144644838,0.49880899432168724
2021-07-08,1.2496014121857164,0.5046692192066354
2021-07-09,1.2475894029440875,0.498281588603734
2021-07-12,1.2538251359125687,0.48927031680382443
2021-07-13,1.2394549909272228,0.49867292236009686
2021-07-14,1.2431398662392414,0.4984272772682039
2021-07-15,1.2495198548677398,0.48899012205557063
2021-07-16,1.2431293956688858,0.48981332458965204
2021-07-19,1.2408515508255087,0.4933552427851515
2021-07-20,1.2217237894185342,0.506566087769656
2021-07-21,1.2205529493114946,0.5056982725285589
2021-07-22,1.2190733775568738,0.4985014511235572
2021-07-23,1.2036256505654481,0.49243132927834266
2021-07-26,1.2046065976431264,0.4921504879028841
2021-07-27,1.2041727818825443,0.48937599138513127
2021-07-28,1.2043106389884506,0.4955057602280227
2021-07-29,1.2069654856194236,0.49751342887177813
2021-07-30,1.206676022819267,0.4948981407022397
2021-08-02,1.20691651053077,0.4976560182254227
2021-08-03,1.1913584030889401,0.5008386420957786
2021-08-04,1.192639570628452,0.5047231976372571
2021-08-05,1.1959883418435413,0.5003274391955717
2021-08-06,1.1943749243962853,0.5022125578870931
2021-08-09,1.1937703383444769,0.5030415720048975
2021-08-10,1.1949181046050885,0.5025569733304505
2021-08-11,1.1895831904657563,0.5073493320510374
2021-08-12,1.1835803000787886,0.509569259588075
2021-08-13,1.1829938098131774,0.5093131612171259
2021-08-16,1.1826787136018153,0.509295478143457
2021-08-17,1.1809272483175235,0.5071081004308373
2021-08-18,1.1784716139557754,0.510640271090392
2021-08-19,1.1758478395852456,0.5116828930896608
2021-08-20,1.1791478956454213,0.5138160341293232
2021-08-23,1.1751501190198348,0.5119608255926553
2021-08-24,1.1763946375586085,0.5090164828837431
2021-08-25,1.1752450214778378,0.5090781619493095
2021-08-26,1.1723162623915817,0.5062539824405169
2021-08-27,1.1676722642837885,0.5048627230363679
2021-08-30,1.1679931615879184,0.50510067123035
2021-08-31,1.1674835414241769,0.5044416534486674
2021-09-01,1.168473266360196,0.508696219463074
2021-09-02,1.1656917839012784,0.49774167780549794
2021-09-03,1.1340645579242818,0.48050974328840707
2021-09-07,1.1320255917859703,0.4848162291094757
2021-09-08,1.1015179432095967,0.4865552899836825
2021-09-09,1.0849926212212802,0.4839652672260912
2021-09-10,1.0750595456367624,0.47974934020232274
2021-09-13,1.0745373134446898,0.48220284899511934
2021-09-14,1.0756835525161037,0.4797720049990465
2021-09-15,1.0760896206347526,0.4803826477546341
2021-09-16,1.0724782079849362,0.483808105669777
2021-09-17,1.0758156640251457,0.48535342395945236
2021-09-20,1.073264709823908,0.4844521867922083
2021-09-21,1.085641328151031,0.4659368864911813
2021-09-22,1.0809522737232682,0.46324993590684416
2021-09-23,1.0667851565748487,0.46323593593028495
2021-09-24,1.0662530037073683,0.4635351647890452
2021-09-27,1.0648010911572905,0.451304490774612
2021-09-28,1.0868096895540664,0.4409710071440019
2021-09-29,1.0852124208070684,0.4406487659483528
2021-09-30,1.0810968245738324,0.4514193645832609
2021-10-01,1.0870342323529059,0.4560270706257269
2021-10-04,1.081078524355622,0.45681647728089575
2021-10-05,1.085662618509509,0.4566063866726118
2021-10-06,1.0817161368875177,0.44833293822474557
2021-10-07,1.0803526958090728,0.44064924435698394
2021-10-08,1.0816896260604683,0.4351624674551832
2021-10-11,1.0735273120086262,0.43397587861249315
2021-10-12,1.0672654037587859,0.4324732695712152
2021-10-13,1.0712433327082282,0.4345906116629509
2021-10-14,1.0733681235627697,0.43314288378928845
2021-10-15,1.0723145493310644,0.43412378043666705
2021-10-18,1.073150033236766,0.4338587335239334
2021-10-19,1.0646299830112844,0.43793960420717465
2021-10-20,1.0641379099410677,0.4414177940501199
2021-10-21,1.0659390851765502,0.43912228810581644
2021-10-22,1.068327407731416,0.4374864234078352
2021-10-25,1.0659587375421526,0.43631131745359997
2021-10-26,1.0566156363201877,0.4339261246112414
2021-10-27,1.0371350769164929,0.4306967956260433
2021-10-28,1.0044789832955234,0.3972508217530237
2021-10-29,1.0062152911225648,0.3970154845946748
2021-11-01,1.0064304108115343,0.39574580885773775
2021-11-02,1.0143721416904772,0.39346309802503154
2021-11-03,1.0120969300382487,0.3735512974897018
2021-11-04,0.9819064738433911,0.3552708590151537
2021-11-05,0.9686739845702245,0.3889751565019979
2021-11-08,0.9687786744442659,0.3884679346370346
2021-11-09,0.9825254907039194,0.38888517602567735
2021-11-10,0.9810455237949164,0.39033374068675286
2021-11-11,0.973468647403387,0.39387715201391266
2021-11-12,0.9774262449273841,0.3968748348073218
2021-11-15,0.9837585602266852,0.3853585183926941
2021-11-16,0.991066343946228,0.3840028289540306
2021-11-17,0.9876253772392373,0.38144588942425445
2021-11-18,0.9846641801410261,0.38699188678359414
